Gassville city	Arkansas	2131	[[-92.511092, 36.26852600000001], [-92.46350300000002, 36.29773000000001]]
Unity town	Maine	2131	[[-69.355214, 44.604408], [-69.30329300000001, 44.63251800000001]]
Gold Bar city	Washington	2131	[[-121.71104700000001, 47.842588], [-121.67335799999998, 47.866334]]
Carlton city	Oregon	2134	[[-123.196183, 45.2867777], [-123.164686, 45.301503999999994]]
Wilmerding borough	Pennsylvania	2135	[[-79.8186084, 40.386318], [-79.801236, 40.402603]]
Cumberland city	Wisconsin	2135	[[-92.00659300000001, 45.531616], [-92.005405, 45.533936000000004]]
Elkton city	Kentucky	2136	[[-87.19973399999999, 36.794727], [-87.13951300000001, 36.827618]]
Cabool city	Missouri	2136	[[-92.08805609999999, 37.098981], [-92.061874, 37.117253]]
Gurdon city	Arkansas	2137	[[-93.195019, 33.90362], [-93.13191300000001, 33.926445]]
Rockwell City city	Iowa	2137	[[-94.64997199999999, 42.38426799999999], [-94.60073399999999, 42.413380999999994]]
Springport township	Michigan	2137	[[-84.70887699999999, 42.37106299999999], [-84.68409799999999, 42.385597]]
Memphis city	Texas	2137	[[-100.55839999999999, 34.714154], [-100.524687, 34.74351200000001]]
Shiner city	Texas	2137	[[-97.190851, 29.414924000000003], [-97.15489799999999, 29.454341]]
Falmouth city	Kentucky	2139	[[-84.33347599999999, 38.654218], [-84.32475099999999, 38.664683999999994]]
Hickman city	Nebraska	2139	[[-96.640458, 40.616017], [-96.619841, 40.632411000000005]]
Glenwood city	Arkansas	2141	[[-93.57356300000001, 34.295310000000015], [-93.478646, 34.347115]]
Coal Grove village	Ohio	2141	[[-82.660091, 38.48156899999999], [-82.62635499999999, 38.511785999999994]]
Buena Vista city	Georgia	2142	[[-84.534776, 32.303819999999995], [-84.50039699999999, 32.336216]]
Union city	Oregon	2142	[[-117.886244, 45.195068000000006], [-117.850016, 45.224226]]
Holcomb city	Kansas	2145	[[-101.0115911, 37.9785455], [-100.9701454, 38.002571800000005]]
Canajoharie village	New York	2146	[[-74.587304, 42.879062], [-74.55532099999999, 42.909662]]
Calabash town	North Carolina	2146	[[-78.58683099999999, 33.878757], [-78.52373199999998, 33.91181399999999]]
New Ellenton town	South Carolina	2146	[[-81.70485400000001, 33.380343999999994], [-81.62639399999999, 33.452628]]
